trial1sensor01mov01,trial1sensor01mov02,trial1sensor01mov03,trial1sensor02mov01,trial1sensor02mov02,trial1sensor02mov03,trial1sensor03mov01,trial1sensor03mov02,trial1sensor04mov01,trial1sensor04mov02,trial2sensor01mov01,trial2sensor01mov02,trial2sensor01mov03,trial2sensor02mov01,trial2sensor02mov02,trial2sensor02mov03,trial2sensor03mov01,trial2sensor03mov02,trial2sensor04mov01,trial2sensor04mov02,trial3sensor01mov01,trial3sensor01mov02,trial3sensor01mov03,trial3sensor02mov01,trial3sensor02mov02,trial3sensor02mov03,trial3sensor03mov01,trial3sensor03mov02,trial3sensor04mov01,trial3sensor04mov02,trial4sensor01mov01,trial4sensor01mov02,trial4sensor01mov03,trial4sensor02mov01,trial4sensor02mov02,trial4sensor02mov03,trial4sensor03mov01,trial4sensor03mov02,trial4sensor04mov01,trial4sensor04mov02,trial5sensor01mov01,trial5sensor01mov02,trial5sensor01mov03,trial5sensor02mov01,trial5sensor02mov02,trial5sensor02mov03,trial5sensor03mov01,trial5sensor03mov02,trial5sensor04mov01,trial5sensor04mov02
64.153,99.116,145.55,98.934,64.294,124.85,41.131,31.411,31.413,39.166,52.747,98.07,143.22,98.789,53.922,125.22,40.885,29.899,15.875,44.475,61.522,104.09,157.07,86.261,66.878,147.64,41.237,35.288,22.705,43.888,50.413,97.331,158.57,134.14,59.178,147.78,43.756,29.651,23.625,46.11,61.747,100.46,148.09,81.582,48.837,138.61,43.22,33.408,31.408,44.871
70.91,119.56,147.6,102.77,58.091,119.26,27.085,21.289,20.076,32.542,36.7,105.03,150.59,89.873,59.909,128.06,29.157,22.59,18.792,34.306,46.968,95.454,167.77,100.51,51.349,129.33,33.368,23.073,20.028,40.712,33.579,86.076,147.96,93.859,65.343,134.46,32.198,21.689,16.726,41.852,37.387,88.406,146.47,86.471,53.07,140.12,33.398,27.652,16.875,41.217
67.142,99.763,140.09,101.31,65.033,147.85,42.243,42.138,32.692,35.905,56.186,99.196,136.69,109.64,83.629,144.29,41.979,41.802,26.49,34.843,50.202,6.2411,7.3576,96.504,56.845,148.86,39.813,42.265,30.505,42.118,63.832,92.611,144,94.534,76.369,141.29,43.503,36.249,28.762,45.186,66.874,99.558,146.31,94.541,55.379,142.49,45.286,34.948,28.786,46.974
60.77,84.773,140.06,86.228,46.925,150.98,24.488,22.835,10.384,32.354,45.248,78.429,139.58,81.152,45.18,140.11,33.965,21.003,14.312,36.998,45.051,84.145,127.03,87.648,67.658,137.22,28.775,22.19,17.599,34.123,54.326,74.762,130.11,91,58.879,136.13,34.922,18.067,16.904,39.313,38.266,68.904,132.96,85.011,60.359,127.81,32.134,21.256,5.5836,25.393
33.262,81.72,90.93,91.044,66.614,132.56,58.832,40.817,21.8,62.247,50.507,82.543,124.27,111.07,49.216,159.46,62.286,51.091,39.867,68.475,34.264,74.029,130.32,90.323,72.2,150.65,60.293,43.889,31.564,63.634,36.012,73.33,111.16,86.313,82.729,143.4,55.649,42.152,30.9,50.639,40.962,89.253,117.32,95.817,32.864,120.15,56.059,44.295,37.33,67.498
27.769,130.35,163,108.39,66.626,141.63,29.866,27.48,8.2271,41.723,89.311,115.3,150.41,102.85,77.616,134.8,29.749,31.834,23.611,43.545,72.13,114.21,153.67,108.27,79.578,139.67,33.678,32.124,34.173,40.866,82.393,111.26,137.56,105.41,82.261,143.79,33.35,33.014,31.792,43.75,97.727,127.42,142.11,109.78,96.705,142.83,34.313,32.485,30.536,43.954
67.43,102.74,172.23,110.85,65.068,184.69,40.758,33.55,27.07,42.755,66.398,99.587,160.29,108.94,75.252,186.73,42.239,35.266,28.262,43.108,63.986,97.598,169.02,112.46,78.508,186.07,42.564,35.294,31.778,42.422,63.288,108.35,173.66,113.64,62.627,180.11,37.128,30.842,28.535,41.372,50.74,124.69,167.19,98.784,62.732,182.82,37.554,32.763,29.907,39.187
52.786,98.589,160.81,139.49,62.033,167.43,41.246,27.887,22.2,39.95,70.948,96.587,146.38,121.27,90.374,171.11,39.079,24.828,21.961,38.779,53.494,101.79,138.88,116.91,62.689,164.22,40.35,18.984,24.62,40.703,76.253,109.05,147.14,111.33,67.463,158.95,40.342,19.394,33.099,41.064,64.91,118.84,156.33,126.4,50.645,166.48,44.759,28.892,31.293,39.087
49.679,79.553,93.993,115.53,60.014,126.29,26.799,24.223,30.412,37.102,54.463,77.536,137.87,88.115,81.127,134.53,30.639,24.225,29.469,33.225,45.367,71.529,110.87,76.918,65.999,132.86,25.096,20.23,24.37,32.466,48.786,72.001,138.95,80.358,87.315,139.82,23.641,24.598,21.707,33.671,70.6,76.31,131.88,87.246,74.422,134.25,29.649,26.251,28.682,33.978
98.499,40.503,141.54,43.215,63.645,144.66,18.542,5.636,10.1,18.47,39.222,96.45,154.01,105.17,63.543,144.41,26.332,20.437,16.037,40.506,49.895,99.242,151.01,102.29,64.433,154.33,28.346,21.613,30.689,43.27,45.98,90.02,151.49,115.72,63.065,147.56,33.662,22.67,31.372,35.107,43.942,85.91,147.14,98.811,79.465,150.38,36.219,24.747,32.457,42.246
66.838,83.214,142.22,102.59,65.157,149.38,41.464,33.524,27.043,43.018,44.338,91.436,146.95,98.918,55.471,159.81,38.056,24.582,21.56,42.58,38.344,92.747,147.04,102.73,52.725,157.6,37.524,22.858,22.165,40.316,49.894,91.853,148.87,110.24,51.575,152.32,36.545,30.035,28.539,41.993,46.791,94.339,129.67,102.34,55.597,151.51,36.387,32.915,23.918,41.777
53.976,85.661,146.67,85.471,57.103,125.77,29.704,18.245,32.523,45.793,49.228,88.615,167.01,93.041,59.514,122.96,34.815,33.326,35.507,45.961,50.347,87.537,155.04,96.33,53.735,127.27,37.862,30.806,34.441,42.614,43.545,86.56,170.59,93.926,57.083,146.94,40.633,32.133,32.712,45.749,51.231,84.827,167.27,91.461,60.359,145.68,40.275,30.196,36.821,44.977
33.796,70.668,110.39,69.955,49.376,127.48,31.317,32.156,25.37,34.661,38.339,77.794,113.95,74.084,58.314,150.71,33.953,32.429,33.002,33.945,46.857,72.822,101.87,92.769,44.752,137.52,34.307,32.068,30.214,34.584,42.516,73.959,104.86,86.874,58.918,133.48,33.063,33.701,28.174,32.673,47.317,78.449,109.43,81.343,52.635,124.57,34.687,32.688,30.392,32.156
65.717,104.83,149.95,114.96,69.56,202.05,48.059,45.929,36.672,52.445,59.756,101.85,182.36,124,73.947,194.17,42.202,41.013,32.671,52.199,65.371,109.33,182.39,111.87,69.783,190.36,50.663,38.804,35.313,50.484,69.72,115.7,185.47,116.62,69.59,186.36,44.28,29.225,33.469,48.172,64.511,119.53,187.04,125.79,65.254,187.65,48.827,46.472,35.324,43.994
42.651,91.904,149.34,91.692,54.233,148.09,38.916,16.865,31.059,41.126,43.814,88.162,137.46,110.23,89.647,140.11,41.215,22.862,32.953,47.126,61.505,91.435,124.7,111.25,66.324,121.87,43.915,28.259,32.364,51.255,69.278,98.329,132.12,91.808,59.637,134.86,32.937,22.737,27.787,44.248,67.129,82.407,140.08,101.48,70.09,136.01,33.556,16.419,22.089,42.155
56.308,64.484,160.17,92.944,73.253,171.72,37.276,34.007,28.4,41.673,46.347,81.57,161.66,113.69,45.932,169.36,35.429,30.433,28.27,39.389,29.227,81.915,151.34,96.479,55.348,161.14,36.298,32.81,24.785,38.529,48.482,78.796,142.87,102.46,58.373,165.81,35.968,30.255,29.395,40.379,41.269,76.783,142.65,92.042,59.095,167.84,38.549,33.173,27.651,40.555
64.163,90.801,104.3,106.25,89.333,163.33,36.109,27.838,21.639,30.528,65.092,95.546,111.2,131.86,82.042,165.95,38.478,35.641,22.047,34.201,63.466,90.84,145.26,115.74,49.007,165.27,39.143,37.928,21.393,33.366,48.943,86.939,126.73,104.99,82.993,161.26,35.634,36.089,22.391,32.876,45.327,85.103,127.02,104.5,60.75,156.29,37.84,35.569,24.364,34.476
