t	frame	pixel_{x}	pixel_{y}
0.000000000E0	0.000000000E0	2.677894737E2	1.257543860E2
3.333333333E-2	1.000000000E0	2.678251501E2	1.258107452E2
6.666666667E-2	2.000000000E0	2.678065634E2	1.257389113E2
1.000000000E-1	3.000000000E0	2.679048500E2	1.258727616E2
1.333333333E-1	4.000000000E0	2.678254587E2	1.259294567E2
1.666666667E-1	5.000000000E0	2.679901670E2	1.258948865E2
2.000000000E-1	6.000000000E0	2.680060543E2	1.259454755E2
2.333333333E-1	7.000000000E0	2.680750918E2	1.257842807E2
2.666666667E-1	8.000000000E0	2.679228997E2	1.257855919E2
3.000000000E-1	9.000000000E0	2.679450564E2	1.257986422E2
3.333333333E-1	1.000000000E1	2.679720593E2	1.257689417E2
3.666666667E-1	1.100000000E1	2.679322337E2	1.258039956E2
4.000000000E-1	1.200000000E1	2.678539110E2	1.257855016E2
4.333333333E-1	1.300000000E1	2.679489742E2	1.257555561E2
4.666666667E-1	1.400000000E1	2.679294792E2	1.257750021E2
5.000000000E-1	1.500000000E1	2.678490321E2	1.257395286E2
5.333333333E-1	1.600000000E1	2.678854576E2	1.257921953E2
5.666666667E-1	1.700000000E1	2.678940777E2	1.258173609E2
6.000000000E-1	1.800000000E1	2.678953782E2	1.257401974E2
6.333333333E-1	1.900000000E1	2.678645892E2	1.258285257E2
6.666666667E-1	2.000000000E1	2.678855493E2	1.257900800E2
7.000000000E-1	2.100000000E1	2.679517516E2	1.257176542E2
7.333333333E-1	2.200000000E1	2.682750590E2	1.257805151E2
7.666666667E-1	2.300000000E1	2.682920389E2	1.257948739E2
8.000000000E-1	2.400000000E1	2.684477835E2	1.258984268E2
8.333333333E-1	2.500000000E1	2.686708639E2	1.257864411E2
8.666666667E-1	2.600000000E1	2.686495242E2	1.257538263E2
9.000000000E-1	2.700000000E1	2.687615432E2	1.257680805E2
9.333333333E-1	2.800000000E1	2.687709078E2	1.257421535E2
9.666666667E-1	2.900000000E1	2.687865132E2	1.257185341E2
1.000000000E0	3.000000000E1	2.687835687E2	1.257603220E2
1.033333333E0	3.100000000E1	2.688007550E2	1.257457916E2
1.066666667E0	3.200000000E1	2.687805032E2	1.257698327E2
1.100000000E0	3.300000000E1	2.688024161E2	1.256343489E2
1.133333333E0	3.400000000E1	2.688250612E2	1.254831462E2
1.166666667E0	3.500000000E1	2.688781972E2	1.256589127E2
1.200000000E0	3.600000000E1	2.688662692E2	1.256407314E2
1.233333333E0	3.700000000E1	2.688461509E2	1.256373803E2
1.266666667E0	3.800000000E1	2.688176498E2	1.256012160E2
1.300000000E0	3.900000000E1	2.688197162E2	1.256854914E2
1.333333333E0	4.000000000E1	2.687649678E2	1.255921155E2
1.366666667E0	4.100000000E1	2.685891732E2	1.256842872E2
1.400000000E0	4.200000000E1	2.685357523E2	1.256739166E2
1.433333333E0	4.300000000E1	2.684801269E2	1.257172914E2
1.466666667E0	4.400000000E1	2.683903564E2	1.254331533E2
1.500000000E0	4.500000000E1	2.685052289E2	1.255427267E2
1.533333333E0	4.600000000E1	2.685398191E2	1.256920650E2
1.566666667E0	4.700000000E1	2.685334555E2	1.256730591E2
1.600000000E0	4.800000000E1	2.685077055E2	1.257242131E2
1.633333333E0	4.900000000E1	2.685211055E2	1.257549664E2
1.666666667E0	5.000000000E1	2.681706973E2	1.258180694E2
1.700000000E0	5.100000000E1	2.678497458E2	1.256742333E2
1.733333333E0	5.200000000E1	2.678220383E2	1.257186379E2
1.766666667E0	5.300000000E1	2.677176831E2	1.256433499E2
1.800000000E0	5.400000000E1	2.676845157E2	1.257756228E2
1.833333333E0	5.500000000E1	2.677051362E2	1.257827992E2
1.866666667E0	5.600000000E1	2.676525134E2	1.257686152E2
1.900000000E0	5.700000000E1	2.676578469E2	1.256783372E2
1.933333333E0	5.800000000E1	2.676018465E2	1.257848530E2
1.966666667E0	5.900000000E1	2.674738924E2	1.257566304E2
2.000000000E0	6.000000000E1	2.674928744E2	1.257244227E2
2.033333333E0	6.100000000E1	2.673455276E2	1.257768855E2
2.066666667E0	6.200000000E1	2.674912135E2	1.257880400E2
2.100000000E0	6.300000000E1	2.676920085E2	1.258063960E2
2.133333333E0	6.400000000E1	2.675858174E2	1.256870388E2
2.166666667E0	6.500000000E1	2.677503685E2	1.257053578E2
2.200000000E0	6.600000000E1	2.678526739E2	1.256400090E2
2.233333333E0	6.700000000E1	2.677821242E2	1.256712711E2
2.266666667E0	6.800000000E1	2.677041359E2	1.256352532E2
2.300000000E0	6.900000000E1	2.678028486E2	1.256878544E2
2.333333333E0	7.000000000E1	2.676896562E2	1.257142964E2
2.366666667E0	7.100000000E1	2.675284831E2	1.257285828E2
2.400000000E0	7.200000000E1	2.672234036E2	1.255792436E2
2.433333333E0	7.300000000E1	2.666944231E2	1.255086040E2
2.466666667E0	7.400000000E1	2.658000196E2	1.252086892E2
2.500000000E0	7.500000000E1	2.648683905E2	1.249257223E2
2.533333333E0	7.600000000E1	2.638269278E2	1.245463724E2
2.566666667E0	7.700000000E1	2.626755826E2	1.237706380E2
2.600000000E0	7.800000000E1	2.618464864E2	1.236956959E2
2.633333333E0	7.900000000E1	2.607880796E2	1.233069094E2
2.666666667E0	8.000000000E1	2.597073145E2	1.236596925E2
2.700000000E0	8.100000000E1	2.588452709E2	1.236859980E2
2.733333333E0	8.200000000E1	2.579323007E2	1.237696506E2
2.766666667E0	8.300000000E1	2.571359572E2	1.237159147E2
2.800000000E0	8.400000000E1	2.563832765E2	1.236864274E2
2.833333333E0	8.500000000E1	2.557861363E2	1.236777819E2
2.866666667E0	8.600000000E1	2.549558303E2	1.237558844E2
2.900000000E0	8.700000000E1	2.541690965E2	1.235796980E2
2.933333333E0	8.800000000E1	2.534753388E2	1.238106042E2
2.966666667E0	8.900000000E1	2.529100158E2	1.238132709E2
3.000000000E0	9.000000000E1	2.523959806E2	1.238437839E2
3.033333333E0	9.100000000E1	2.519303499E2	1.237910249E2
3.066666667E0	9.200000000E1	2.515330979E2	1.237335767E2
3.100000000E0	9.300000000E1	2.510022396E2	1.237460442E2
3.133333333E0	9.400000000E1	2.507441831E2	1.237420011E2
3.166666667E0	9.500000000E1	2.505967931E2	1.238723878E2
3.200000000E0	9.600000000E1	2.505597658E2	1.238461346E2
3.233333333E0	9.700000000E1	2.507656129E2	1.239085815E2
3.266666667E0	9.800000000E1	2.512106123E2	1.239415214E2
3.300000000E0	9.900000000E1	2.515964160E2	1.240092010E2
3.333333333E0	1.000000000E2	2.519031687E2	1.238012659E2
3.366666667E0	1.010000000E2	2.526322117E2	1.236662176E2
3.400000000E0	1.020000000E2	2.529678368E2	1.234819056E2
3.433333333E0	1.030000000E2	2.537828446E2	1.235652550E2
3.466666667E0	1.040000000E2	2.545525351E2	1.237200841E2
3.500000000E0	1.050000000E2	2.556218752E2	1.240266067E2
3.533333333E0	1.060000000E2	2.567321826E2	1.242673791E2
3.566666667E0	1.070000000E2	2.577594738E2	1.248532551E2
3.600000000E0	1.080000000E2	2.587357277E2	1.250190377E2
3.633333333E0	1.090000000E2	2.598131121E2	1.255513882E2
3.666666667E0	1.100000000E2	2.608604683E2	1.256786403E2
3.700000000E0	1.110000000E2	2.618375085E2	1.258256504E2
3.733333333E0	1.120000000E2	2.628873068E2	1.257924510E2
3.766666667E0	1.130000000E2	2.638292898E2	1.258357896E2
3.800000000E0	1.140000000E2	2.646376268E2	1.259238011E2
3.833333333E0	1.150000000E2	2.656000801E2	1.258565185E2
3.866666667E0	1.160000000E2	2.662538905E2	1.258095149E2
3.900000000E0	1.170000000E2	2.666620227E2	1.257946693E2
3.933333333E0	1.180000000E2	2.669598915E2	1.256899671E2
3.966666667E0	1.190000000E2	2.676995464E2	1.257270747E2
4.000000000E0	1.200000000E2	2.679102900E2	1.257343399E2
4.033333333E0	1.210000000E2	2.686015816E2	1.256693135E2
4.066666667E0	1.220000000E2	2.688342406E2	1.257090404E2
4.100000000E0	1.230000000E2	2.692933262E2	1.257264290E2
4.133333333E0	1.240000000E2	2.695801056E2	1.256914362E2
4.166666667E0	1.250000000E2	2.697752356E2	1.256967537E2
4.200000000E0	1.260000000E2	2.698028143E2	1.257284023E2
4.233333333E0	1.270000000E2	2.700243768E2	1.257148261E2
4.266666667E0	1.280000000E2	2.701641770E2	1.256196852E2
4.300000000E0	1.290000000E2	2.703260686E2	1.258162919E2
4.333333333E0	1.300000000E2	2.703632584E2	1.258247733E2
4.366666667E0	1.310000000E2	2.702478220E2	1.257748043E2
4.400000000E0	1.320000000E2	2.700033994E2	1.257796870E2
4.433333333E0	1.330000000E2	2.698557762E2	1.257135131E2
4.466666667E0	1.340000000E2	2.698465520E2	1.257530884E2
4.500000000E0	1.350000000E2	2.697373437E2	1.258138574E2
4.533333333E0	1.360000000E2	2.696880115E2	1.257622136E2
4.566666667E0	1.370000000E2	2.696411153E2	1.257672425E2
4.600000000E0	1.380000000E2	2.695082024E2	1.258107660E2
4.633333333E0	1.390000000E2	2.694745032E2	1.258113023E2
4.666666667E0	1.400000000E2	2.697035824E2	1.257544642E2
4.700000000E0	1.410000000E2	2.697437093E2	1.256719341E2
