t	frame	pixel_{x}	pixel_{y}
0.000000000E0	0.000000000E0	2.850000000E2	4.402500000E2
3.333333333E-2	1.000000000E0	2.850251541E2	4.402149102E2
6.666666667E-2	2.000000000E0	2.849556678E2	4.402790285E2
1.000000000E-1	3.000000000E0	2.849961512E2	4.403314530E2
1.333333333E-1	4.000000000E0	2.849791771E2	4.402898380E2
1.666666667E-1	5.000000000E0	2.850217147E2	4.402676515E2
2.000000000E-1	6.000000000E0	2.849761381E2	4.402206981E2
2.333333333E-1	7.000000000E0	2.849778388E2	4.402205195E2
2.666666667E-1	8.000000000E0	2.850076292E2	4.402141981E2
3.000000000E-1	9.000000000E0	2.850095080E2	4.402679136E2
3.333333333E-1	1.000000000E1	2.849866744E2	4.402840591E2
3.666666667E-1	1.100000000E1	2.850068937E2	4.402948138E2
4.000000000E-1	1.200000000E1	2.849972425E2	4.402462191E2
4.333333333E-1	1.300000000E1	2.849741197E2	4.402550043E2
4.666666667E-1	1.400000000E1	2.850017110E2	4.402538653E2
5.000000000E-1	1.500000000E1	2.849826658E2	4.402260352E2
5.333333333E-1	1.600000000E1	2.849923345E2	4.402810424E2
5.666666667E-1	1.700000000E1	2.849875096E2	4.402634455E2
6.000000000E-1	1.800000000E1	2.849931915E2	4.402486191E2
6.333333333E-1	1.900000000E1	2.849821227E2	4.402486064E2
6.666666667E-1	2.000000000E1	2.850016368E2	4.402368403E2
7.000000000E-1	2.100000000E1	2.849946898E2	4.402490408E2
7.333333333E-1	2.200000000E1	2.849838240E2	4.402538264E2
7.666666667E-1	2.300000000E1	2.849794499E2	4.402648646E2
8.000000000E-1	2.400000000E1	2.849768600E2	4.402619591E2
8.333333333E-1	2.500000000E1	2.850002773E2	4.402780497E2
8.666666667E-1	2.600000000E1	2.850029523E2	4.402496346E2
9.000000000E-1	2.700000000E1	2.849970317E2	4.402380520E2
9.333333333E-1	2.800000000E1	2.850200601E2	4.402406324E2
9.666666667E-1	2.900000000E1	2.849956346E2	4.402510025E2
1.000000000E0	3.000000000E1	2.850000912E2	4.402488813E2
1.033333333E0	3.100000000E1	2.849957088E2	4.402766747E2
1.066666667E0	3.200000000E1	2.849884282E2	4.402501684E2
1.100000000E0	3.300000000E1	2.849855257E2	4.402365506E2
1.133333333E0	3.400000000E1	2.849800319E2	4.402410814E2
1.166666667E0	3.500000000E1	2.849991758E2	4.402576924E2
1.200000000E0	3.600000000E1	2.849910171E2	4.402539084E2
1.233333333E0	3.700000000E1	2.850182509E2	4.402651489E2
1.266666667E0	3.800000000E1	2.849922211E2	4.402676251E2
1.300000000E0	3.900000000E1	2.849955075E2	4.402666694E2
1.333333333E0	4.000000000E1	2.849934649E2	4.403006594E2
1.366666667E0	4.100000000E1	2.850025604E2	4.402423447E2
1.400000000E0	4.200000000E1	2.849801049E2	4.402559948E2
1.433333333E0	4.300000000E1	2.849530903E2	4.402655754E2
1.466666667E0	4.400000000E1	2.849756543E2	4.402950112E2
1.500000000E0	4.500000000E1	2.849761131E2	4.402553724E2
1.533333333E0	4.600000000E1	2.850018659E2	4.402533089E2
1.566666667E0	4.700000000E1	2.849994982E2	4.402414759E2
1.600000000E0	4.800000000E1	2.849731429E2	4.402447760E2
1.633333333E0	4.900000000E1	2.849951308E2	4.402416305E2
1.666666667E0	5.000000000E1	2.849832996E2	4.402656707E2
1.700000000E0	5.100000000E1	2.849788679E2	4.402578145E2
1.733333333E0	5.200000000E1	2.849928972E2	4.402622242E2
1.766666667E0	5.300000000E1	2.849800055E2	4.402548745E2
1.800000000E0	5.400000000E1	2.849903550E2	4.402509395E2
1.833333333E0	5.500000000E1	2.850076460E2	4.402562259E2
1.866666667E0	5.600000000E1	2.849805847E2	4.402432090E2
1.900000000E0	5.700000000E1	2.849766130E2	4.402439945E2
1.933333333E0	5.800000000E1	2.849563527E2	4.402466397E2
1.966666667E0	5.900000000E1	2.849877974E2	4.402448161E2
2.000000000E0	6.000000000E1	2.849732946E2	4.402709297E2
2.033333333E0	6.100000000E1	2.849628615E2	4.402629743E2
2.066666667E0	6.200000000E1	2.849795167E2	4.402826067E2
2.100000000E0	6.300000000E1	2.849642081E2	4.402311738E2
2.133333333E0	6.400000000E1	2.850304614E2	4.402731075E2
2.166666667E0	6.500000000E1	2.849304831E2	4.402565040E2
2.200000000E0	6.600000000E1	2.850264930E2	4.402539038E2
2.233333333E0	6.700000000E1	2.850137394E2	4.402562240E2
2.266666667E0	6.800000000E1	2.849839199E2	4.402629159E2
2.300000000E0	6.900000000E1	2.850342118E2	4.402361186E2
2.333333333E0	7.000000000E1	2.850274109E2	4.402514290E2
2.366666667E0	7.100000000E1	2.850357343E2	4.402463291E2
2.400000000E0	7.200000000E1	2.850349184E2	4.402461199E2
2.433333333E0	7.300000000E1	2.850331137E2	4.402410928E2
2.466666667E0	7.400000000E1	2.850219719E2	4.402523660E2
2.500000000E0	7.500000000E1	2.850365119E2	4.402468761E2
2.533333333E0	7.600000000E1	2.849963799E2	4.402294353E2
2.566666667E0	7.700000000E1	2.850315855E2	4.398609965E2
2.600000000E0	7.800000000E1	2.860460769E2	4.389877854E2
2.633333333E0	7.900000000E1	2.925000000E2	4.372500000E2
2.666666667E0	8.000000000E1	3.020000000E2	4.352500000E2
2.700000000E0	8.100000000E1	3.117500000E2	4.322500000E2
2.733333333E0	8.200000000E1	3.242500000E2	4.300000000E2
2.766666667E0	8.300000000E1	3.355000000E2	4.247500000E2
2.800000000E0	8.400000000E1	3.467500000E2	4.185000000E2
2.833333333E0	8.500000000E1	3.540000000E2	4.152500000E2
2.866666667E0	8.600000000E1	3.607500000E2	4.112500000E2
2.900000000E0	8.700000000E1	3.680000000E2	4.067500000E2
2.933333333E0	8.800000000E1	3.735000000E2	4.012500000E2
2.966666667E0	8.900000000E1	3.782500000E2	3.970000000E2
3.000000000E0	9.000000000E1	3.822500000E2	3.930000000E2
3.033333333E0	9.100000000E1	3.857500000E2	3.917500000E2
3.066666667E0	9.200000000E1	3.847500000E2	3.927500000E2
3.100000000E0	9.300000000E1	3.807500000E2	3.962500000E2
3.133333333E0	9.400000000E1	3.785000000E2	4.002500000E2
3.166666667E0	9.500000000E1	3.710000000E2	4.050000000E2
3.200000000E0	9.600000000E1	3.642500000E2	4.107500000E2
3.233333333E0	9.700000000E1	3.547500000E2	4.167500000E2
3.266666667E0	9.800000000E1	3.452500000E2	4.217500000E2
3.300000000E0	9.900000000E1	3.365000000E2	4.265000000E2
3.333333333E0	1.000000000E2	3.232500000E2	4.310000000E2
3.366666667E0	1.010000000E2	3.130000000E2	4.347500000E2
3.400000000E0	1.020000000E2	3.015000000E2	4.377500000E2
3.433333333E0	1.030000000E2	2.925000000E2	4.380000000E2
3.466666667E0	1.040000000E2	2.890000000E2	4.387500000E2
3.500000000E0	1.050000000E2	2.875000000E2	4.402500000E2
3.533333333E0	1.060000000E2	2.880000000E2	4.402500000E2
3.566666667E0	1.070000000E2	2.880000000E2	4.407500000E2
3.600000000E0	1.080000000E2	2.880000000E2	4.407500000E2
3.633333333E0	1.090000000E2	2.880000000E2	4.407500000E2
3.666666667E0	1.100000000E2	2.880000000E2	4.407500000E2
3.700000000E0	1.110000000E2	2.875000000E2	4.407500000E2
3.733333333E0	1.120000000E2	2.870559943E2	4.403613680E2
3.766666667E0	1.130000000E2	2.869915471E2	4.403430817E2
3.800000000E0	1.140000000E2	2.870239726E2	4.403610683E2
3.833333333E0	1.150000000E2	2.870241714E2	4.403986488E2
3.866666667E0	1.160000000E2	2.869919587E2	4.402885661E2
3.900000000E0	1.170000000E2	2.869690361E2	4.403517869E2
3.933333333E0	1.180000000E2	2.869719301E2	4.403182440E2
3.966666667E0	1.190000000E2	2.870030386E2	4.403177746E2
4.000000000E0	1.200000000E2	2.869802753E2	4.402566770E2
4.033333333E0	1.210000000E2	2.869824345E2	4.402519234E2
4.066666667E0	1.220000000E2	2.870126927E2	4.402634823E2
4.100000000E0	1.230000000E2	2.869872064E2	4.403136318E2
4.133333333E0	1.240000000E2	2.869886905E2	4.403055822E2
4.166666667E0	1.250000000E2	2.869706854E2	4.402586684E2
4.200000000E0	1.260000000E2	2.869882062E2	4.403077180E2
4.233333333E0	1.270000000E2	2.869784625E2	4.402760136E2
4.266666667E0	1.280000000E2	2.869968092E2	4.402775425E2
4.300000000E0	1.290000000E2	2.869601693E2	4.402957540E2
4.333333333E0	1.300000000E2	2.869813161E2	4.403210036E2
4.366666667E0	1.310000000E2	2.869942914E2	4.403059064E2
4.400000000E0	1.320000000E2	2.870047080E2	4.402347488E2
4.433333333E0	1.330000000E2	2.870147845E2	4.402622411E2
4.466666667E0	1.340000000E2	2.869815554E2	4.402763567E2
4.500000000E0	1.350000000E2	2.869962713E2	4.403039301E2
4.533333333E0	1.360000000E2	2.869867268E2	4.402174498E2
4.566666667E0	1.370000000E2	2.870229202E2	4.402650392E2
4.600000000E0	1.380000000E2	2.869270482E2	4.402876550E2
4.633333333E0	1.390000000E2	2.869858064E2	4.402189667E2
4.666666667E0	1.400000000E2	2.869846057E2	4.401911462E2
4.700000000E0	1.410000000E2	2.869127250E2	4.401353306E2
4.733333333E0	1.420000000E2	2.869646432E2	4.401311848E2
4.766666667E0	1.430000000E2	2.869702737E2	4.401147795E2
4.800000000E0	1.440000000E2	2.868846525E2	4.401185174E2
4.833333333E0	1.450000000E2	2.868357808E2	4.400909810E2
4.866666667E0	1.460000000E2	2.867018110E2	4.401217339E2
4.900000000E0	1.470000000E2	2.868621009E2	4.402133145E2
4.933333333E0	1.480000000E2	2.869673551E2	4.402324885E2
4.966666667E0	1.490000000E2	2.869715496E2	4.402420569E2
5.000000000E0	1.500000000E2	2.868185051E2	4.402539164E2
