t	frame	pixel_{x}	pixel_{y}
0.000000000E0	0.000000000E0	3.151648352E2	2.848351648E2
3.333333333E-2	1.000000000E0	3.151641461E2	2.848453745E2
6.666666667E-2	2.000000000E0	3.151886206E2	2.849260231E2
1.000000000E-1	3.000000000E0	3.151807203E2	2.849643399E2
1.333333333E-1	4.000000000E0	3.151968135E2	2.850834410E2
1.666666667E-1	5.000000000E0	3.151455566E2	2.853746345E2
2.000000000E-1	6.000000000E0	3.151503428E2	2.854590409E2
2.333333333E-1	7.000000000E0	3.151536032E2	2.853502768E2
2.666666667E-1	8.000000000E0	3.151625707E2	2.856900987E2
3.000000000E-1	9.000000000E0	3.151899676E2	2.858568463E2
3.333333333E-1	1.000000000E1	3.151933730E2	2.859467312E2
3.666666667E-1	1.100000000E1	3.152031642E2	2.859974241E2
4.000000000E-1	1.200000000E1	3.151929060E2	2.859669083E2
4.333333333E-1	1.300000000E1	3.151894196E2	2.859770714E2
4.666666667E-1	1.400000000E1	3.151885186E2	2.858881677E2
5.000000000E-1	1.500000000E1	3.152036553E2	2.859758881E2
5.333333333E-1	1.600000000E1	3.152072998E2	2.860402586E2
5.666666667E-1	1.700000000E1	3.151992213E2	2.859644651E2
6.000000000E-1	1.800000000E1	3.152005445E2	2.860346279E2
6.333333333E-1	1.900000000E1	3.152118385E2	2.861094012E2
6.666666667E-1	2.000000000E1	3.152020723E2	2.860527504E2
7.000000000E-1	2.100000000E1	3.152155142E2	2.860597758E2
7.333333333E-1	2.200000000E1	3.152163224E2	2.861808140E2
7.666666667E-1	2.300000000E1	3.151817958E2	2.864275341E2
8.000000000E-1	2.400000000E1	3.151919881E2	2.866873051E2
8.333333333E-1	2.500000000E1	3.152174436E2	2.869426926E2
8.666666667E-1	2.600000000E1	3.152429219E2	2.870919805E2
9.000000000E-1	2.700000000E1	3.152957072E2	2.872830589E2
9.333333333E-1	2.800000000E1	3.152388096E2	2.871033521E2
9.666666667E-1	2.900000000E1	3.152519648E2	2.870270082E2
1.000000000E0	3.000000000E1	3.152054995E2	2.869282473E2
1.033333333E0	3.100000000E1	3.151878228E2	2.868638917E2
1.066666667E0	3.200000000E1	3.151862323E2	2.868637525E2
1.100000000E0	3.300000000E1	3.151744604E2	2.868841165E2
1.133333333E0	3.400000000E1	3.151510482E2	2.868257299E2
1.166666667E0	3.500000000E1	3.151578570E2	2.868240436E2
1.200000000E0	3.600000000E1	3.151534812E2	2.868033749E2
1.233333333E0	3.700000000E1	3.151700551E2	2.869319768E2
1.266666667E0	3.800000000E1	3.151617258E2	2.868853400E2
1.300000000E0	3.900000000E1	3.151717872E2	2.869343430E2
1.333333333E0	4.000000000E1	3.151823981E2	2.869620457E2
1.366666667E0	4.100000000E1	3.151558830E2	2.868404973E2
1.400000000E0	4.200000000E1	3.151161749E2	2.866913120E2
1.433333333E0	4.300000000E1	3.151447683E2	2.862667153E2
1.466666667E0	4.400000000E1	3.150914126E2	2.857694637E2
1.500000000E0	4.500000000E1	3.150653103E2	2.856422209E2
1.533333333E0	4.600000000E1	3.150816323E2	2.856165025E2
1.566666667E0	4.700000000E1	3.150774127E2	2.855359453E2
1.600000000E0	4.800000000E1	3.150750331E2	2.855896036E2
1.633333333E0	4.900000000E1	3.151527901E2	2.852801087E2
1.666666667E0	5.000000000E1	3.151542509E2	2.851142764E2
1.700000000E0	5.100000000E1	3.151332637E2	2.848849400E2
1.733333333E0	5.200000000E1	3.150854052E2	2.846572199E2
1.766666667E0	5.300000000E1	3.150547952E2	2.844222961E2
1.800000000E0	5.400000000E1	3.150423771E2	2.844363294E2
1.833333333E0	5.500000000E1	3.151526082E2	2.842479106E2
1.866666667E0	5.600000000E1	3.151282553E2	2.839696583E2
1.900000000E0	5.700000000E1	3.151159429E2	2.837858723E2
