t	frame	pixel_{x}	pixel_{y}
0.000000000E0	0.000000000E0	3.025000000E2	1.680000000E2
3.333333333E-2	1.000000000E0	3.025418658E2	1.679554146E2
6.666666667E-2	2.000000000E0	3.025353166E2	1.679449331E2
1.000000000E-1	3.000000000E0	3.025516068E2	1.680277124E2
1.333333333E-1	4.000000000E0	3.025084838E2	1.680558418E2
1.666666667E-1	5.000000000E0	3.025574958E2	1.679938379E2
2.000000000E-1	6.000000000E0	3.025705739E2	1.679575775E2
2.333333333E-1	7.000000000E0	3.025676683E2	1.679665989E2
2.666666667E-1	8.000000000E0	3.026117031E2	1.677122529E2
3.000000000E-1	9.000000000E0	3.025706636E2	1.679635502E2
3.333333333E-1	1.000000000E1	3.025619818E2	1.679486247E2
3.666666667E-1	1.100000000E1	3.025840005E2	1.679124012E2
4.000000000E-1	1.200000000E1	3.025565381E2	1.679237458E2
4.333333333E-1	1.300000000E1	3.025649156E2	1.678966701E2
4.666666667E-1	1.400000000E1	3.025817850E2	1.678903459E2
5.000000000E-1	1.500000000E1	3.025656915E2	1.678863149E2
5.333333333E-1	1.600000000E1	3.025614268E2	1.679027767E2
5.666666667E-1	1.700000000E1	3.025785999E2	1.679123527E2
6.000000000E-1	1.800000000E1	3.025808020E2	1.679476700E2
6.333333333E-1	1.900000000E1	3.026473522E2	1.676959349E2
6.666666667E-1	2.000000000E1	3.026753681E2	1.677217775E2
7.000000000E-1	2.100000000E1	3.027809237E2	1.676227209E2
7.333333333E-1	2.200000000E1	3.026860879E2	1.676800671E2
7.666666667E-1	2.300000000E1	3.028102833E2	1.676617938E2
8.000000000E-1	2.400000000E1	3.025407472E2	1.673617380E2
8.333333333E-1	2.500000000E1	3.025776766E2	1.671845900E2
8.666666667E-1	2.600000000E1	3.026180396E2	1.670802606E2
9.000000000E-1	2.700000000E1	3.026420730E2	1.669172989E2
9.333333333E-1	2.800000000E1	3.026403865E2	1.668565396E2
9.666666667E-1	2.900000000E1	3.026146298E2	1.668938604E2
1.000000000E0	3.000000000E1	3.026040797E2	1.668939242E2
1.033333333E0	3.100000000E1	3.026399381E2	1.668499439E2
1.066666667E0	3.200000000E1	3.025960467E2	1.668689687E2
1.100000000E0	3.300000000E1	3.025549119E2	1.669220425E2
1.133333333E0	3.400000000E1	3.025831931E2	1.668517716E2
1.166666667E0	3.500000000E1	3.025872294E2	1.668788167E2
1.200000000E0	3.600000000E1	3.025527731E2	1.669219254E2
1.233333333E0	3.700000000E1	3.025305866E2	1.669870081E2
1.266666667E0	3.800000000E1	3.025337600E2	1.669507595E2
1.300000000E0	3.900000000E1	3.025059478E2	1.670182516E2
1.333333333E0	4.000000000E1	3.024794568E2	1.670309874E2
1.366666667E0	4.100000000E1	3.024468871E2	1.671124860E2
1.400000000E0	4.200000000E1	3.024126964E2	1.671554083E2
1.433333333E0	4.300000000E1	3.023820266E2	1.672030827E2
1.466666667E0	4.400000000E1	3.023987139E2	1.672412203E2
1.500000000E0	4.500000000E1	3.023179379E2	1.673107193E2
1.533333333E0	4.600000000E1	3.024505768E2	1.675057502E2
1.566666667E0	4.700000000E1	3.024252402E2	1.677601491E2
1.600000000E0	4.800000000E1	3.016858385E2	1.668976614E2
1.633333333E0	4.900000000E1	3.015744249E2	1.669747504E2
1.666666667E0	5.000000000E1	3.015442568E2	1.670287882E2
1.700000000E0	5.100000000E1	3.015119326E2	1.670630776E2
1.733333333E0	5.200000000E1	3.014661794E2	1.670733000E2
1.766666667E0	5.300000000E1	3.014150674E2	1.670931441E2
1.800000000E0	5.400000000E1	3.014024333E2	1.671461917E2
1.833333333E0	5.500000000E1	3.014096696E2	1.670517371E2
1.866666667E0	5.600000000E1	3.013665803E2	1.670966004E2
1.900000000E0	5.700000000E1	3.013435020E2	1.671141265E2
1.933333333E0	5.800000000E1	3.013777159E2	1.670774864E2
1.966666667E0	5.900000000E1	3.014125829E2	1.670699786E2
2.000000000E0	6.000000000E1	2.996171250E2	1.645945005E2
2.033333333E0	6.100000000E1	2.990000000E2	1.651666667E2
2.066666667E0	6.200000000E1	2.991666667E2	1.650833333E2
2.100000000E0	6.300000000E1	2.995833333E2	1.648333333E2
2.133333333E0	6.400000000E1	3.014627901E2	1.670467750E2
2.166666667E0	6.500000000E1	3.014587433E2	1.670353147E2
2.200000000E0	6.600000000E1	3.014720197E2	1.670225967E2
