t	frame	pixel_{x}	pixel_{y}
0.000000000E0	0.000000000E0	2.715000000E2	2.495000000E2
3.333333333E-2	1.000000000E0	2.713291469E2	2.494231316E2
6.666666667E-2	2.000000000E0	2.711742244E2	2.495406698E2
1.000000000E-1	3.000000000E0	2.718662291E2	2.495578388E2
1.333333333E-1	4.000000000E0	2.714789431E2	2.495494205E2
1.666666667E-1	5.000000000E0	2.715269106E2	2.495600038E2
2.000000000E-1	6.000000000E0	2.712032259E2	2.495446493E2
2.333333333E-1	7.000000000E0	2.716737970E2	2.495382778E2
2.666666667E-1	8.000000000E0	2.712495998E2	2.494304871E2
3.000000000E-1	9.000000000E0	2.716357416E2	2.495377026E2
3.333333333E-1	1.000000000E1	2.717333846E2	2.495748892E2
3.666666667E-1	1.100000000E1	2.715414808E2	2.495888438E2
4.000000000E-1	1.200000000E1	2.717133211E2	2.495798733E2
4.333333333E-1	1.300000000E1	2.718950712E2	2.495540166E2
4.666666667E-1	1.400000000E1	2.714871855E2	2.495395466E2
5.000000000E-1	1.500000000E1	2.707523972E2	2.495946210E2
5.333333333E-1	1.600000000E1	2.714530265E2	2.495621261E2
5.666666667E-1	1.700000000E1	2.714571382E2	2.495762777E2
6.000000000E-1	1.800000000E1	2.711273048E2	2.495716896E2
6.333333333E-1	1.900000000E1	2.720620269E2	2.495611144E2
6.666666667E-1	2.000000000E1	2.719050541E2	2.495561263E2
7.000000000E-1	2.100000000E1	2.723279890E2	2.495442601E2
7.333333333E-1	2.200000000E1	2.723071270E2	2.495497719E2
7.666666667E-1	2.300000000E1	2.721679364E2	2.495543907E2
8.000000000E-1	2.400000000E1	2.729100531E2	2.495960566E2
8.333333333E-1	2.500000000E1	2.726186797E2	2.495723254E2
8.666666667E-1	2.600000000E1	2.718775540E2	2.495523809E2
9.000000000E-1	2.700000000E1	2.718639987E2	2.495604206E2
9.333333333E-1	2.800000000E1	2.726837465E2	2.495698129E2
9.666666667E-1	2.900000000E1	2.721274878E2	2.495625323E2
1.000000000E0	3.000000000E1	2.723433872E2	2.495669558E2
1.033333333E0	3.100000000E1	2.718092193E2	2.495934266E2
1.066666667E0	3.200000000E1	2.717522728E2	2.495822593E2
1.100000000E0	3.300000000E1	2.723365220E2	2.495794000E2
1.133333333E0	3.400000000E1	2.734386043E2	2.496243986E2
1.166666667E0	3.500000000E1	2.737415548E2	2.496473601E2
1.200000000E0	3.600000000E1	2.719118151E2	2.498012152E2
1.233333333E0	3.700000000E1	2.707893675E2	2.504221167E2
1.266666667E0	3.800000000E1	2.685658581E2	2.504870981E2
1.300000000E0	3.900000000E1	2.696347863E2	2.504450737E2
1.333333333E0	4.000000000E1	2.690215183E2	2.505104424E2
1.366666667E0	4.100000000E1	2.693818962E2	2.505184446E2
1.400000000E0	4.200000000E1	2.698711381E2	2.505323684E2
1.433333333E0	4.300000000E1	2.704886088E2	2.505561256E2
1.466666667E0	4.400000000E1	2.696125679E2	2.505436955E2
