t	frame	pixel_{x}	pixel_{y}
0.000000000E0	0.000000000E0	2.287500000E2	2.160000000E2
3.333333333E-2	1.000000000E0	2.289075989E2	2.160867167E2
6.666666667E-2	2.000000000E0	2.288303191E2	2.158050685E2
1.000000000E-1	3.000000000E0	2.288865710E2	2.162113709E2
1.333333333E-1	4.000000000E0	2.289187332E2	2.174335902E2
1.666666667E-1	5.000000000E0	2.288562252E2	2.176897838E2
2.000000000E-1	6.000000000E0	2.290164834E2	2.170873838E2
2.333333333E-1	7.000000000E0	2.288333333E2	2.160833333E2
2.666666667E-1	8.000000000E0	2.288333333E2	2.160833333E2
3.000000000E-1	9.000000000E0	2.292238079E2	2.178350157E2
3.333333333E-1	1.000000000E1	2.292238079E2	2.193943613E2
3.666666667E-1	1.100000000E1	2.292238079E2	2.196171250E2
4.000000000E-1	1.200000000E1	2.292238079E2	2.182805430E2
4.333333333E-1	1.300000000E1	2.287782805E2	2.162756700E2
4.666666667E-1	1.400000000E1	2.287782805E2	2.158301427E2
5.000000000E-1	1.500000000E1	2.287782805E2	2.158301427E2
5.333333333E-1	1.600000000E1	2.290010442E2	2.164984337E2
5.666666667E-1	1.700000000E1	2.294465715E2	2.160529064E2
6.000000000E-1	1.800000000E1	2.294465715E2	2.160529064E2
6.333333333E-1	1.900000000E1	2.294465715E2	2.160529064E2
6.666666667E-1	2.000000000E1	2.312286808E2	2.136025061E2
7.000000000E-1	2.100000000E1	2.312286808E2	2.129342151E2
7.333333333E-1	2.200000000E1	2.310059172E2	2.131569788E2
7.666666667E-1	2.300000000E1	2.294465715E2	2.131569788E2
8.000000000E-1	2.400000000E1	2.294465715E2	2.133797424E2
8.333333333E-1	2.500000000E1	2.294465715E2	2.133797424E2
8.666666667E-1	2.600000000E1	2.294465715E2	2.138252698E2
9.000000000E-1	2.700000000E1	2.294465715E2	2.138252698E2
9.333333333E-1	2.800000000E1	2.294465715E2	2.138252698E2
9.666666667E-1	2.900000000E1	2.296693352E2	2.136025061E2
1.000000000E0	3.000000000E1	2.298920989E2	2.136025061E2
1.033333333E0	3.100000000E1	2.297871632E2	2.212792909E2
1.066666667E0	3.200000000E1	2.298920989E2	2.136025061E2
1.100000000E0	3.300000000E1	2.298920989E2	2.136025061E2
1.133333333E0	3.400000000E1	2.298920989E2	2.138252698E2
1.166666667E0	3.500000000E1	2.298920989E2	2.138252698E2
1.200000000E0	3.600000000E1	2.305603898E2	2.144935607E2
1.233333333E0	3.700000000E1	2.305603898E2	2.144935607E2
1.266666667E0	3.800000000E1	2.305603898E2	2.144935607E2
1.300000000E0	3.900000000E1	2.305603898E2	2.144935607E2
1.333333333E0	4.000000000E1	2.305603898E2	2.144935607E2
1.366666667E0	4.100000000E1	2.305603898E2	2.140480334E2
1.400000000E0	4.200000000E1	2.301148625E2	2.140480334E2
1.433333333E0	4.300000000E1	2.276787030E2	2.164775239E2
1.466666667E0	4.400000000E1	2.290935888E2	2.161238025E2
1.500000000E0	4.500000000E1	2.290935888E2	2.161238025E2
1.533333333E0	4.600000000E1	2.290935888E2	2.161238025E2
1.566666667E0	4.700000000E1	2.290935888E2	2.161238025E2
1.600000000E0	4.800000000E1	2.290935888E2	2.161238025E2
1.633333333E0	4.900000000E1	2.290935888E2	2.161238025E2
1.666666667E0	5.000000000E1	2.290935888E2	2.161238025E2
1.700000000E0	5.100000000E1	2.290935888E2	2.161238025E2
1.733333333E0	5.200000000E1	2.290935888E2	2.175386883E2
1.766666667E0	5.300000000E1	2.290935888E2	2.168312454E2
1.800000000E0	5.400000000E1	2.290935888E2	2.164775239E2
1.833333333E0	5.500000000E1	2.290935888E2	2.164775239E2
1.866666667E0	5.600000000E1	2.290935888E2	2.164775239E2
1.900000000E0	5.700000000E1	2.273249816E2	2.175386883E2
1.933333333E0	5.800000000E1	2.273249816E2	2.175386883E2
1.966666667E0	5.900000000E1	2.273249816E2	2.175386883E2
2.000000000E0	6.000000000E1	2.273249816E2	2.175386883E2
2.033333333E0	6.100000000E1	2.273249816E2	2.175386883E2
2.066666667E0	6.200000000E1	2.269712601E2	2.175386883E2
2.100000000E0	6.300000000E1	2.269712601E2	2.182461312E2
2.133333333E0	6.400000000E1	2.273249816E2	2.193072955E2
2.166666667E0	6.500000000E1	2.273249816E2	2.193072955E2
2.200000000E0	6.600000000E1	2.273249816E2	2.193072955E2
2.233333333E0	6.700000000E1	2.273249816E2	2.185998526E2
2.266666667E0	6.800000000E1	2.276787030E2	2.185998526E2
2.300000000E0	6.900000000E1	2.276787030E2	2.185998526E2
2.333333333E0	7.000000000E1	2.276787030E2	2.185998526E2
2.366666667E0	7.100000000E1	2.276787030E2	2.185998526E2
2.400000000E0	7.200000000E1	2.276787030E2	2.185998526E2
2.433333333E0	7.300000000E1	2.255563744E2	2.164775239E2
2.466666667E0	7.400000000E1	2.262638172E2	2.196610169E2
2.500000000E0	7.500000000E1	2.255563744E2	2.189535741E2
2.533333333E0	7.600000000E1	2.230803242E2	2.189535741E2
2.566666667E0	7.700000000E1	2.230803242E2	2.189535741E2
2.600000000E0	7.800000000E1	2.209579956E2	2.189535741E2
