t	frame	pixel_{x}	pixel_{y}
0.000000000E0	0.000000000E0	2.645000000E2	4.405000000E2
3.333333333E-2	1.000000000E0	2.645524007E2	4.404738777E2
6.666666667E-2	2.000000000E0	2.644902895E2	4.405363712E2
1.000000000E-1	3.000000000E0	2.645203514E2	4.406937445E2
1.333333333E-1	4.000000000E0	2.646847086E2	4.406535984E2
1.666666667E-1	5.000000000E0	2.646339231E2	4.405559785E2
2.000000000E-1	6.000000000E0	2.645985320E2	4.405630891E2
2.333333333E-1	7.000000000E0	2.645130569E2	4.404658743E2
2.666666667E-1	8.000000000E0	2.644432425E2	4.404827098E2
3.000000000E-1	9.000000000E0	2.645082130E2	4.405035221E2
3.333333333E-1	1.000000000E1	2.645322317E2	4.405527858E2
3.666666667E-1	1.100000000E1	2.645023524E2	4.405183260E2
4.000000000E-1	1.200000000E1	2.645851225E2	4.405620815E2
4.333333333E-1	1.300000000E1	2.645035322E2	4.404617617E2
4.666666667E-1	1.400000000E1	2.644692964E2	4.404466356E2
5.000000000E-1	1.500000000E1	2.644822359E2	4.404965915E2
5.333333333E-1	1.600000000E1	2.644494563E2	4.405310768E2
5.666666667E-1	1.700000000E1	2.645023607E2	4.405509804E2
6.000000000E-1	1.800000000E1	2.646369764E2	4.405273096E2
6.333333333E-1	1.900000000E1	2.646006680E2	4.405344017E2
6.666666667E-1	2.000000000E1	2.645052398E2	4.404980159E2
7.000000000E-1	2.100000000E1	2.644076960E2	4.404252299E2
7.333333333E-1	2.200000000E1	2.645342150E2	4.405210480E2
7.666666667E-1	2.300000000E1	2.645342328E2	4.404872163E2
8.000000000E-1	2.400000000E1	2.645613063E2	4.405771546E2
8.333333333E-1	2.500000000E1	2.646008429E2	4.405308237E2
8.666666667E-1	2.600000000E1	2.645345957E2	4.405246252E2
9.000000000E-1	2.700000000E1	2.645001768E2	4.405075906E2
9.333333333E-1	2.800000000E1	2.645004565E2	4.405602695E2
9.666666667E-1	2.900000000E1	2.646447400E2	4.405116766E2
1.000000000E0	3.000000000E1	2.645095364E2	4.405203674E2
1.033333333E0	3.100000000E1	2.645669634E2	4.405619909E2
1.066666667E0	3.200000000E1	2.643398659E2	4.405250492E2
1.100000000E0	3.300000000E1	2.645772150E2	4.404877442E2
1.133333333E0	3.400000000E1	2.645285182E2	4.405026810E2
1.166666667E0	3.500000000E1	2.645064023E2	4.404431083E2
1.200000000E0	3.600000000E1	2.645546043E2	4.404420694E2
1.233333333E0	3.700000000E1	2.643809279E2	4.405172276E2
1.266666667E0	3.800000000E1	2.645420392E2	4.404819303E2
1.300000000E0	3.900000000E1	2.645810236E2	4.404927373E2
1.333333333E0	4.000000000E1	2.644434189E2	4.404671543E2
1.366666667E0	4.100000000E1	2.645269505E2	4.404799734E2
1.400000000E0	4.200000000E1	2.644138091E2	4.404728350E2
1.433333333E0	4.300000000E1	2.644120849E2	4.404290442E2
1.466666667E0	4.400000000E1	2.644781326E2	4.404507805E2
1.500000000E0	4.500000000E1	2.645046785E2	4.404779341E2
1.533333333E0	4.600000000E1	2.645475118E2	4.405126985E2
1.566666667E0	4.700000000E1	2.646065618E2	4.405280165E2
1.600000000E0	4.800000000E1	2.644633307E2	4.405204039E2
1.633333333E0	4.900000000E1	2.644892135E2	4.404923173E2
1.666666667E0	5.000000000E1	2.645247437E2	4.405267814E2
1.700000000E0	5.100000000E1	2.646018279E2	4.404984190E2
1.733333333E0	5.200000000E1	2.644674532E2	4.404876937E2
1.766666667E0	5.300000000E1	2.645328534E2	4.405304901E2
1.800000000E0	5.400000000E1	2.644847120E2	4.405113092E2
1.833333333E0	5.500000000E1	2.642878916E2	4.404508647E2
1.866666667E0	5.600000000E1	2.644378011E2	4.405124391E2
1.900000000E0	5.700000000E1	2.645205702E2	4.405203249E2
1.933333333E0	5.800000000E1	2.643820805E2	4.404580993E2
1.966666667E0	5.900000000E1	2.644832234E2	4.405055693E2
2.000000000E0	6.000000000E1	2.644511170E2	4.404522713E2
2.033333333E0	6.100000000E1	2.645916663E2	4.406027808E2
2.066666667E0	6.200000000E1	2.644372843E2	4.405207202E2
2.100000000E0	6.300000000E1	2.644992909E2	4.405362162E2
2.133333333E0	6.400000000E1	2.644873173E2	4.404354293E2
2.166666667E0	6.500000000E1	2.645179421E2	4.404595736E2
2.200000000E0	6.600000000E1	2.645725682E2	4.405204517E2
2.233333333E0	6.700000000E1	2.644674286E2	4.404731139E2
2.266666667E0	6.800000000E1	2.645047514E2	4.405328625E2
2.300000000E0	6.900000000E1	2.646377301E2	4.405423621E2
2.333333333E0	7.000000000E1	2.645727032E2	4.405395660E2
2.366666667E0	7.100000000E1	2.644695825E2	4.404357608E2
2.400000000E0	7.200000000E1	2.646517803E2	4.404369177E2
2.433333333E0	7.300000000E1	2.646260051E2	4.403648822E2
2.466666667E0	7.400000000E1	2.645418199E2	4.403454180E2
2.500000000E0	7.500000000E1	2.646938232E2	4.404466098E2
2.533333333E0	7.600000000E1	2.647127017E2	4.404591834E2
2.566666667E0	7.700000000E1	2.646835262E2	4.405165708E2
2.600000000E0	7.800000000E1	2.646108574E2	4.405280900E2
2.633333333E0	7.900000000E1	2.647785836E2	4.406192692E2
2.666666667E0	8.000000000E1	2.647978858E2	4.405969761E2
2.700000000E0	8.100000000E1	2.650867828E2	4.405882248E2
2.733333333E0	8.200000000E1	2.654268124E2	4.408172795E2
2.766666667E0	8.300000000E1	2.654751163E2	4.408452917E2
2.800000000E0	8.400000000E1	2.653318504E2	4.408229428E2
2.833333333E0	8.500000000E1	2.650063043E2	4.407703091E2
2.866666667E0	8.600000000E1	2.651748318E2	4.406508056E2
2.900000000E0	8.700000000E1	2.650958009E2	4.406220571E2
2.933333333E0	8.800000000E1	2.652272280E2	4.405689515E2
2.966666667E0	8.900000000E1	2.651125936E2	4.405691630E2
3.000000000E0	9.000000000E1	2.652188252E2	4.405452151E2
3.033333333E0	9.100000000E1	2.653141385E2	4.405337143E2
3.066666667E0	9.200000000E1	2.651823739E2	4.404712876E2
3.100000000E0	9.300000000E1	2.653804048E2	4.405457138E2
3.133333333E0	9.400000000E1	2.654862063E2	4.405146974E2
3.166666667E0	9.500000000E1	2.654144910E2	4.405265122E2
3.200000000E0	9.600000000E1	2.654255552E2	4.405050869E2
3.233333333E0	9.700000000E1	2.654930823E2	4.404918529E2
3.266666667E0	9.800000000E1	2.654560177E2	4.404988877E2
3.300000000E0	9.900000000E1	2.655378018E2	4.405869854E2
3.333333333E0	1.000000000E2	2.656197173E2	4.405325353E2
3.366666667E0	1.010000000E2	2.653114031E2	4.404961932E2
3.400000000E0	1.020000000E2	2.654576860E2	4.405234039E2
3.433333333E0	1.030000000E2	2.654115625E2	4.404830461E2
3.466666667E0	1.040000000E2	2.654214644E2	4.404971375E2
3.500000000E0	1.050000000E2	2.653646563E2	4.404707989E2
3.533333333E0	1.060000000E2	2.653812781E2	4.404721760E2
3.566666667E0	1.070000000E2	2.655206257E2	4.404957002E2
3.600000000E0	1.080000000E2	2.654417326E2	4.404841433E2
3.633333333E0	1.090000000E2	2.655130390E2	4.404697205E2
3.666666667E0	1.100000000E2	2.656173469E2	4.404655555E2
3.700000000E0	1.110000000E2	2.657032371E2	4.405085310E2
3.733333333E0	1.120000000E2	2.654662004E2	4.404731703E2
3.766666667E0	1.130000000E2	2.655736825E2	4.405294588E2
3.800000000E0	1.140000000E2	2.654975750E2	4.404670217E2
3.833333333E0	1.150000000E2	2.655145655E2	4.405016448E2
3.866666667E0	1.160000000E2	2.655593302E2	4.404832808E2
3.900000000E0	1.170000000E2	2.654597776E2	4.404710012E2
3.933333333E0	1.180000000E2	2.655662300E2	4.405344964E2
3.966666667E0	1.190000000E2	2.654274738E2	4.404885511E2
4.000000000E0	1.200000000E2	2.655866741E2	4.404945295E2
4.033333333E0	1.210000000E2	2.653157269E2	4.404762921E2
4.066666667E0	1.220000000E2	2.655024156E2	4.404973631E2
4.100000000E0	1.230000000E2	2.655059537E2	4.404890480E2
4.133333333E0	1.240000000E2	2.654729236E2	4.404895033E2
4.166666667E0	1.250000000E2	2.656569241E2	4.405361995E2
4.200000000E0	1.260000000E2	2.655231131E2	4.404958649E2
4.233333333E0	1.270000000E2	2.655794532E2	4.404938248E2
4.266666667E0	1.280000000E2	2.656331499E2	4.405179399E2
4.300000000E0	1.290000000E2	2.654713182E2	4.405268157E2
4.333333333E0	1.300000000E2	2.655771802E2	4.405130681E2
4.366666667E0	1.310000000E2	2.655036960E2	4.405018160E2
4.400000000E0	1.320000000E2	2.655031354E2	4.405048597E2
4.433333333E0	1.330000000E2	2.656593577E2	4.405257365E2
4.466666667E0	1.340000000E2	2.656192158E2	4.404919483E2
4.500000000E0	1.350000000E2	2.655382753E2	4.404950710E2
4.533333333E0	1.360000000E2	2.655943977E2	4.405408589E2
4.566666667E0	1.370000000E2	2.654613361E2	4.404874729E2
4.600000000E0	1.380000000E2	2.652546974E2	4.404808863E2
4.633333333E0	1.390000000E2	2.651068872E2	4.404554741E2
4.666666667E0	1.400000000E2	2.654281546E2	4.404986643E2
4.700000000E0	1.410000000E2	2.654039799E2	4.404808951E2
4.733333333E0	1.420000000E2	2.652559324E2	4.404587243E2
4.766666667E0	1.430000000E2	2.653799161E2	4.404743907E2
4.800000000E0	1.440000000E2	2.653643543E2	4.404812625E2
4.833333333E0	1.450000000E2	2.654334540E2	4.404307088E2
4.866666667E0	1.460000000E2	2.653983533E2	4.404597326E2
4.900000000E0	1.470000000E2	2.655016458E2	4.403238295E2
4.933333333E0	1.480000000E2	2.650000000E2	4.400000000E2
4.966666667E0	1.490000000E2	2.620000000E2	4.395000000E2
5.000000000E0	1.500000000E2	2.547500000E2	4.382500000E2
5.033333333E0	1.510000000E2	2.382500000E2	4.372500000E2
5.066666667E0	1.520000000E2	2.132500000E2	4.332500000E2
5.100000000E0	1.530000000E2	1.837500000E2	4.232500000E2
5.133333333E0	1.540000000E2	1.622500000E2	4.090000000E2
5.166666667E0	1.550000000E2	1.377500000E2	3.885000000E2
5.200000000E0	1.560000000E2	1.147500000E2	3.682500000E2
5.233333333E0	1.570000000E2	1.002500000E2	3.432500000E2
5.266666667E0	1.580000000E2	8.950000000E1	3.192500000E2
5.300000000E0	1.590000000E2	7.975000000E1	2.950000000E2
5.333333333E0	1.600000000E2	7.575000000E1	2.747500000E2
5.366666667E0	1.610000000E2	7.350000000E1	2.592500000E2
5.400000000E0	1.620000000E2	7.375000000E1	2.467500000E2
5.433333333E0	1.630000000E2	7.425000000E1	2.442500000E2
5.466666667E0	1.640000000E2	7.425000000E1	2.462500000E2
5.500000000E0	1.650000000E2	7.450000000E1	2.525000000E2
5.533333333E0	1.660000000E2	7.625000000E1	2.677500000E2
5.566666667E0	1.670000000E2	7.925000000E1	2.857500000E2
5.600000000E0	1.680000000E2	8.350000000E1	3.105000000E2
5.633333333E0	1.690000000E2	9.625000000E1	3.302500000E2
5.666666667E0	1.700000000E2	1.077500000E2	3.612500000E2
5.700000000E0	1.710000000E2	1.257500000E2	3.817500000E2
5.733333333E0	1.720000000E2	1.500000000E2	4.032500000E2
5.766666667E0	1.730000000E2	1.770000000E2	4.222500000E2
5.800000000E0	1.740000000E2	2.047500000E2	4.332500000E2
5.833333333E0	1.750000000E2	2.282500000E2	4.367500000E2
5.866666667E0	1.760000000E2	2.407500000E2	4.370000000E2
5.900000000E0	1.770000000E2	2.507500000E2	4.397500000E2
5.933333333E0	1.780000000E2	2.552500000E2	4.420000000E2
5.966666667E0	1.790000000E2	2.565000000E2	4.427500000E2
6.000000000E0	1.800000000E2	2.562500000E2	4.420000000E2
6.033333333E0	1.810000000E2	2.570000000E2	4.420000000E2
6.066666667E0	1.820000000E2	2.570000000E2	4.420000000E2
6.100000000E0	1.830000000E2	2.570000000E2	4.415000000E2
6.133333333E0	1.840000000E2	2.570000000E2	4.415000000E2
6.166666667E0	1.850000000E2	2.572500000E2	4.415000000E2
