t	frame	pixel_{x}	pixel_{y}
0.000000000E0	0.000000000E0	2.233374891E2	2.907812269E2
3.333333333E-2	1.000000000E0	2.233207770E2	2.907354083E2
6.666666667E-2	2.000000000E0	2.234278776E2	2.906395566E2
1.000000000E-1	3.000000000E0	2.233794223E2	2.907686673E2
1.333333333E-1	4.000000000E0	2.233728365E2	2.907972058E2
1.666666667E-1	5.000000000E0	2.233704634E2	2.907626938E2
2.000000000E-1	6.000000000E0	2.233902337E2	2.907353997E2
2.333333333E-1	7.000000000E0	2.233668581E2	2.905852862E2
2.666666667E-1	8.000000000E0	2.233593534E2	2.906936860E2
3.000000000E-1	9.000000000E0	2.233554126E2	2.907537998E2
3.333333333E-1	1.000000000E1	2.234008014E2	2.906803216E2
3.666666667E-1	1.100000000E1	2.233966143E2	2.907702043E2
4.000000000E-1	1.200000000E1	2.234349542E2	2.908618254E2
4.333333333E-1	1.300000000E1	2.233878462E2	2.907078821E2
4.666666667E-1	1.400000000E1	2.234012682E2	2.906474040E2
5.000000000E-1	1.500000000E1	2.233832483E2	2.907272265E2
5.333333333E-1	1.600000000E1	2.233577475E2	2.907293597E2
5.666666667E-1	1.700000000E1	2.233971383E2	2.907665154E2
6.000000000E-1	1.800000000E1	2.233781643E2	2.907583824E2
6.333333333E-1	1.900000000E1	2.233870970E2	2.906587872E2
6.666666667E-1	2.000000000E1	2.234012352E2	2.905871859E2
7.000000000E-1	2.100000000E1	2.233902868E2	2.905233896E2
7.333333333E-1	2.200000000E1	2.234450963E2	2.906300364E2
7.666666667E-1	2.300000000E1	2.234316241E2	2.906038469E2
8.000000000E-1	2.400000000E1	2.234175011E2	2.906157873E2
8.333333333E-1	2.500000000E1	2.234316824E2	2.906611474E2
8.666666667E-1	2.600000000E1	2.234029136E2	2.905325481E2
9.000000000E-1	2.700000000E1	2.234256408E2	2.906062191E2
9.333333333E-1	2.800000000E1	2.234532082E2	2.905030395E2
9.666666667E-1	2.900000000E1	2.233773304E2	2.906889740E2
1.000000000E0	3.000000000E1	2.233678863E2	2.906218919E2
1.033333333E0	3.100000000E1	2.233593196E2	2.906977531E2
1.066666667E0	3.200000000E1	2.233486246E2	2.907455193E2
1.100000000E0	3.300000000E1	2.233508304E2	2.907762934E2
1.133333333E0	3.400000000E1	2.232772747E2	2.908145122E2
1.166666667E0	3.500000000E1	2.231930142E2	2.909096229E2
1.200000000E0	3.600000000E1	2.231693896E2	2.910290208E2
1.233333333E0	3.700000000E1	2.232821965E2	2.909494320E2
1.266666667E0	3.800000000E1	2.232577089E2	2.907002819E2
1.300000000E0	3.900000000E1	2.232944647E2	2.907861679E2
1.333333333E0	4.000000000E1	2.232918046E2	2.907749116E2
1.366666667E0	4.100000000E1	2.232248771E2	2.908482905E2
1.400000000E0	4.200000000E1	2.232444886E2	2.908718665E2
1.433333333E0	4.300000000E1	2.231770160E2	2.909423427E2
1.466666667E0	4.400000000E1	2.231475520E2	2.908109906E2
1.500000000E0	4.500000000E1	2.231285530E2	2.909104065E2
1.533333333E0	4.600000000E1	2.231384979E2	2.909405121E2
1.566666667E0	4.700000000E1	2.231903718E2	2.908061797E2
1.600000000E0	4.800000000E1	2.231582469E2	2.908351158E2
1.633333333E0	4.900000000E1	2.231821275E2	2.909314952E2
1.666666667E0	5.000000000E1	2.231995267E2	2.909562411E2
1.700000000E0	5.100000000E1	2.231988370E2	2.912510180E2
1.733333333E0	5.200000000E1	2.231828110E2	2.908918457E2
1.766666667E0	5.300000000E1	2.231695673E2	2.910015127E2
1.800000000E0	5.400000000E1	2.231153264E2	2.907910495E2
1.833333333E0	5.500000000E1	2.229422050E2	2.906838969E2
1.866666667E0	5.600000000E1	2.231333657E2	2.908701512E2
1.900000000E0	5.700000000E1	2.230718481E2	2.907969037E2
1.933333333E0	5.800000000E1	2.231385060E2	2.906694156E2
1.966666667E0	5.900000000E1	2.231492332E2	2.908950668E2
2.000000000E0	6.000000000E1	2.231075356E2	2.906748350E2
2.033333333E0	6.100000000E1	2.232196136E2	2.907679779E2
2.066666667E0	6.200000000E1	2.232548662E2	2.908566673E2
2.100000000E0	6.300000000E1	2.232595468E2	2.907767707E2
2.133333333E0	6.400000000E1	2.233127929E2	2.907462370E2
2.166666667E0	6.500000000E1	2.232951316E2	2.907514511E2
2.200000000E0	6.600000000E1	2.233337130E2	2.907901119E2
2.233333333E0	6.700000000E1	2.233334725E2	2.907456460E2
2.266666667E0	6.800000000E1	2.233380662E2	2.907622198E2
2.300000000E0	6.900000000E1	2.233344723E2	2.907997751E2
2.333333333E0	7.000000000E1	2.233150666E2	2.908422493E2
2.366666667E0	7.100000000E1	2.232162185E2	2.908459796E2
2.400000000E0	7.200000000E1	2.231189096E2	2.908097209E2
2.433333333E0	7.300000000E1	2.224021656E2	2.906433701E2
2.466666667E0	7.400000000E1	2.220627316E2	2.907398919E2
2.500000000E0	7.500000000E1	2.213199581E2	2.901188578E2
2.533333333E0	7.600000000E1	2.206403547E2	2.894310819E2
2.566666667E0	7.700000000E1	2.202057532E2	2.888528435E2
2.600000000E0	7.800000000E1	2.193989778E2	2.884320055E2
2.633333333E0	7.900000000E1	2.182813611E2	2.885099406E2
2.666666667E0	8.000000000E1	2.164907157E2	2.878740664E2
2.700000000E0	8.100000000E1	2.145963888E2	2.877638920E2
2.733333333E0	8.200000000E1	2.125025173E2	2.871490650E2
2.766666667E0	8.300000000E1	2.104096479E2	2.873703651E2
2.800000000E0	8.400000000E1	2.083817287E2	2.875557921E2
2.833333333E0	8.500000000E1	2.067015179E2	2.875472785E2
2.866666667E0	8.600000000E1	2.053810864E2	2.877092251E2
2.900000000E0	8.700000000E1	2.042120043E2	2.878572032E2
2.933333333E0	8.800000000E1	2.031684367E2	2.879827902E2
2.966666667E0	8.900000000E1	2.022486688E2	2.881824858E2
3.000000000E0	9.000000000E1	2.017321903E2	2.884304282E2
3.033333333E0	9.100000000E1	2.016246532E2	2.885795716E2
3.066666667E0	9.200000000E1	2.017256459E2	2.886242682E2
3.100000000E0	9.300000000E1	2.022570653E2	2.887564326E2
3.133333333E0	9.400000000E1	2.024870118E2	2.888108795E2
3.166666667E0	9.500000000E1	2.033417679E2	2.894353739E2
3.200000000E0	9.600000000E1	2.042616237E2	2.898558022E2
3.233333333E0	9.700000000E1	2.052972370E2	2.898421844E2
3.266666667E0	9.800000000E1	2.063467996E2	2.897123498E2
3.300000000E0	9.900000000E1	2.074065168E2	2.896582582E2
3.333333333E0	1.000000000E2	2.084741649E2	2.896061571E2
3.366666667E0	1.010000000E2	2.095000960E2	2.893471925E2
3.400000000E0	1.020000000E2	2.104806470E2	2.894941078E2
3.433333333E0	1.030000000E2	2.114346177E2	2.896641530E2
3.466666667E0	1.040000000E2	2.124591105E2	2.898597702E2
3.500000000E0	1.050000000E2	2.135505921E2	2.898735589E2
3.533333333E0	1.060000000E2	2.145574962E2	2.898074635E2
3.566666667E0	1.070000000E2	2.156661277E2	2.897104749E2
3.600000000E0	1.080000000E2	2.166132484E2	2.898352529E2
3.633333333E0	1.090000000E2	2.181503882E2	2.909280154E2
3.666666667E0	1.100000000E2	2.193309323E2	2.908901723E2
