t	frame	pixel_{x}	pixel_{y}
0.000000000E0	0.000000000E0	2.313555775E2	1.714007987E2
3.333333333E-2	1.000000000E0	2.313627127E2	1.714202151E2
6.666666667E-2	2.000000000E0	2.313759004E2	1.715088964E2
1.000000000E-1	3.000000000E0	2.314031665E2	1.716782729E2
1.333333333E-1	4.000000000E0	2.313966486E2	1.715960156E2
1.666666667E-1	5.000000000E0	2.314188569E2	1.717315459E2
2.000000000E-1	6.000000000E0	2.314100036E2	1.716159275E2
2.333333333E-1	7.000000000E0	2.314308772E2	1.716164033E2
2.666666667E-1	8.000000000E0	2.314388497E2	1.717263315E2
3.000000000E-1	9.000000000E0	2.313819599E2	1.719752960E2
3.333333333E-1	1.000000000E1	2.313806648E2	1.720520406E2
3.666666667E-1	1.100000000E1	2.313889396E2	1.724622647E2
4.000000000E-1	1.200000000E1	2.313876723E2	1.725157422E2
4.333333333E-1	1.300000000E1	2.314082234E2	1.725080476E2
4.666666667E-1	1.400000000E1	2.314275551E2	1.724879599E2
5.000000000E-1	1.500000000E1	2.314050922E2	1.725795577E2
5.333333333E-1	1.600000000E1	2.313674440E2	1.724650343E2
5.666666667E-1	1.700000000E1	2.313966453E2	1.728323520E2
6.000000000E-1	1.800000000E1	2.314220789E2	1.726667908E2
6.333333333E-1	1.900000000E1	2.314197745E2	1.726489354E2
6.666666667E-1	2.000000000E1	2.314168450E2	1.729665750E2
7.000000000E-1	2.100000000E1	2.313973967E2	1.729622506E2
7.333333333E-1	2.200000000E1	2.313833273E2	1.733817507E2
7.666666667E-1	2.300000000E1	2.314212560E2	1.735603046E2
8.000000000E-1	2.400000000E1	2.314556562E2	1.736724977E2
8.333333333E-1	2.500000000E1	2.314565546E2	1.735874294E2
8.666666667E-1	2.600000000E1	2.313994754E2	1.739852027E2
9.000000000E-1	2.700000000E1	2.314233088E2	1.740900718E2
9.333333333E-1	2.800000000E1	2.314314344E2	1.744025783E2
9.666666667E-1	2.900000000E1	2.313807412E2	1.739370259E2
1.000000000E0	3.000000000E1	2.313884050E2	1.743775341E2
1.033333333E0	3.100000000E1	2.314037087E2	1.744240423E2
1.066666667E0	3.200000000E1	2.313816905E2	1.746146879E2
1.100000000E0	3.300000000E1	2.313509660E2	1.741311520E2
1.133333333E0	3.400000000E1	2.313616764E2	1.744471741E2
1.166666667E0	3.500000000E1	2.313703768E2	1.744216080E2
1.200000000E0	3.600000000E1	2.313850467E2	1.745503100E2
1.233333333E0	3.700000000E1	2.313505133E2	1.741395051E2
1.266666667E0	3.800000000E1	2.313524758E2	1.741546883E2
1.300000000E0	3.900000000E1	2.313558449E2	1.743584945E2
1.333333333E0	4.000000000E1	2.313303356E2	1.741997176E2
1.366666667E0	4.100000000E1	2.313222001E2	1.741503145E2
1.400000000E0	4.200000000E1	2.310000000E2	1.730000000E2
1.433333333E0	4.300000000E1	2.310000000E2	1.725000000E2
1.466666667E0	4.400000000E1	2.310000000E2	1.725000000E2
1.500000000E0	4.500000000E1	2.310000000E2	1.725000000E2
1.533333333E0	4.600000000E1	2.317500000E2	1.710000000E2
1.566666667E0	4.700000000E1	2.317500000E2	1.710000000E2
1.600000000E0	4.800000000E1	2.317500000E2	1.710000000E2
1.633333333E0	4.900000000E1	2.317500000E2	1.710000000E2
1.666666667E0	5.000000000E1	2.312500000E2	1.697500000E2
1.700000000E0	5.100000000E1	2.312500000E2	1.697500000E2
1.733333333E0	5.200000000E1	2.312500000E2	1.697500000E2
1.766666667E0	5.300000000E1	2.312500000E2	1.697500000E2
1.800000000E0	5.400000000E1	2.312500000E2	1.697500000E2
1.833333333E0	5.500000000E1	2.312500000E2	1.697500000E2
1.866666667E0	5.600000000E1	2.312500000E2	1.697500000E2
1.900000000E0	5.700000000E1	2.312500000E2	1.697500000E2
1.933333333E0	5.800000000E1	2.312500000E2	1.697500000E2
1.966666667E0	5.900000000E1	2.312500000E2	1.697500000E2
2.000000000E0	6.000000000E1	2.312500000E2	1.697500000E2
2.033333333E0	6.100000000E1	2.312500000E2	1.697500000E2
2.066666667E0	6.200000000E1	2.302500000E2	1.687500000E2
2.100000000E0	6.300000000E1	2.302500000E2	1.687500000E2
2.133333333E0	6.400000000E1	2.302500000E2	1.687500000E2
2.166666667E0	6.500000000E1	2.300000000E2	1.687500000E2
2.200000000E0	6.600000000E1	2.300000000E2	1.687500000E2
2.233333333E0	6.700000000E1	2.300000000E2	1.687500000E2
2.266666667E0	6.800000000E1	2.300000000E2	1.687500000E2
2.300000000E0	6.900000000E1	2.300000000E2	1.687500000E2
2.333333333E0	7.000000000E1	2.300000000E2	1.687500000E2
2.366666667E0	7.100000000E1	2.300000000E2	1.687500000E2
2.400000000E0	7.200000000E1	2.300000000E2	1.687500000E2
2.433333333E0	7.300000000E1	2.290000000E2	1.690000000E2
2.466666667E0	7.400000000E1	2.270000000E2	1.692500000E2
2.500000000E0	7.500000000E1	2.267500000E2	1.692500000E2
2.533333333E0	7.600000000E1	2.257500000E2	1.692500000E2
2.566666667E0	7.700000000E1	2.247500000E2	1.692500000E2
2.600000000E0	7.800000000E1	2.230000000E2	1.692500000E2
2.633333333E0	7.900000000E1	2.215000000E2	1.682500000E2
2.666666667E0	8.000000000E1	2.200000000E2	1.670000000E2
2.700000000E0	8.100000000E1	2.190000000E2	1.667500000E2
2.733333333E0	8.200000000E1	2.175000000E2	1.665000000E2
2.766666667E0	8.300000000E1	2.167500000E2	1.652500000E2
2.800000000E0	8.400000000E1	2.142500000E2	1.665000000E2
2.833333333E0	8.500000000E1	2.140000000E2	1.665000000E2
2.866666667E0	8.600000000E1	2.132500000E2	1.665000000E2
2.900000000E0	8.700000000E1	2.117500000E2	1.665000000E2
2.933333333E0	8.800000000E1	2.107500000E2	1.680000000E2
2.966666667E0	8.900000000E1	2.110000000E2	1.677500000E2
3.000000000E0	9.000000000E1	2.110000000E2	1.677500000E2
3.033333333E0	9.100000000E1	2.102500000E2	1.677500000E2
3.066666667E0	9.200000000E1	2.092500000E2	1.677500000E2
3.100000000E0	9.300000000E1	2.092500000E2	1.677500000E2
3.133333333E0	9.400000000E1	2.092500000E2	1.677500000E2
3.166666667E0	9.500000000E1	2.107500000E2	1.727500000E2
3.200000000E0	9.600000000E1	2.110000000E2	1.702500000E2
3.233333333E0	9.700000000E1	2.115000000E2	1.695000000E2
3.266666667E0	9.800000000E1	2.115000000E2	1.690000000E2
3.300000000E0	9.900000000E1	2.130000000E2	1.687500000E2
3.333333333E0	1.000000000E2	2.142500000E2	1.682500000E2
3.366666667E0	1.010000000E2	2.157500000E2	1.667500000E2
3.400000000E0	1.020000000E2	2.145000000E2	1.667500000E2
3.433333333E0	1.030000000E2	2.162500000E2	1.677500000E2
3.466666667E0	1.040000000E2	2.175000000E2	1.690000000E2
3.500000000E0	1.050000000E2	2.185000000E2	1.677500000E2
3.533333333E0	1.060000000E2	2.192500000E2	1.682500000E2
3.566666667E0	1.070000000E2	2.225000000E2	1.690000000E2
3.600000000E0	1.080000000E2	2.220000000E2	1.677500000E2
3.633333333E0	1.090000000E2	2.232500000E2	1.687500000E2
3.666666667E0	1.100000000E2	2.247500000E2	1.692500000E2
3.700000000E0	1.110000000E2	2.262500000E2	1.687500000E2
3.733333333E0	1.120000000E2	2.270000000E2	1.687500000E2
3.766666667E0	1.130000000E2	2.285000000E2	1.690000000E2
3.800000000E0	1.140000000E2	2.290000000E2	1.680000000E2
3.833333333E0	1.150000000E2	2.297500000E2	1.687500000E2
3.866666667E0	1.160000000E2	2.302500000E2	1.695000000E2
3.900000000E0	1.170000000E2	2.300000000E2	1.687500000E2
3.933333333E0	1.180000000E2	2.312500000E2	1.687500000E2
3.966666667E0	1.190000000E2	2.320000000E2	1.690000000E2
4.000000000E0	1.200000000E2	2.315000000E2	1.680000000E2
4.033333333E0	1.210000000E2	2.315000000E2	1.680000000E2
4.066666667E0	1.220000000E2	2.317500000E2	1.657500000E2
4.100000000E0	1.230000000E2	2.325000000E2	1.672500000E2
4.133333333E0	1.240000000E2	2.332500000E2	1.682500000E2
4.166666667E0	1.250000000E2	2.327500000E2	1.655000000E2
4.200000000E0	1.260000000E2	2.325000000E2	1.655000000E2
4.233333333E0	1.270000000E2	2.325000000E2	1.655000000E2
