t	frame	pixel_{x}	pixel_{y}
0.000000000E0	0.000000000E0	2.714385965E2	2.099649123E2
3.333333333E-2	1.000000000E0	2.714762006E2	2.098739343E2
6.666666667E-2	2.000000000E0	2.713730826E2	2.099154712E2
1.000000000E-1	3.000000000E0	2.715637859E2	2.099328961E2
1.333333333E-1	4.000000000E0	2.715581858E2	2.099394564E2
1.666666667E-1	5.000000000E0	2.715558101E2	2.099424004E2
2.000000000E-1	6.000000000E0	2.714116593E2	2.099230890E2
2.333333333E-1	7.000000000E0	2.715577695E2	2.098931925E2
2.666666667E-1	8.000000000E0	2.717011968E2	2.098915209E2
3.000000000E-1	9.000000000E0	2.715094781E2	2.099305451E2
3.333333333E-1	1.000000000E1	2.714272044E2	2.099510389E2
3.666666667E-1	1.100000000E1	2.716835831E2	2.099266534E2
4.000000000E-1	1.200000000E1	2.715549015E2	2.099248507E2
4.333333333E-1	1.300000000E1	2.715335176E2	2.099114532E2
4.666666667E-1	1.400000000E1	2.716344839E2	2.098809650E2
5.000000000E-1	1.500000000E1	2.716055603E2	2.098995617E2
5.333333333E-1	1.600000000E1	2.715299118E2	2.099029921E2
5.666666667E-1	1.700000000E1	2.715633338E2	2.099154021E2
6.000000000E-1	1.800000000E1	2.719846788E2	2.098965340E2
6.333333333E-1	1.900000000E1	2.715365831E2	2.098691824E2
6.666666667E-1	2.000000000E1	2.717824891E2	2.098596041E2
7.000000000E-1	2.100000000E1	2.718867964E2	2.098611026E2
7.333333333E-1	2.200000000E1	2.716822318E2	2.098746787E2
7.666666667E-1	2.300000000E1	2.715769768E2	2.098736522E2
8.000000000E-1	2.400000000E1	2.719090686E2	2.098729576E2
8.333333333E-1	2.500000000E1	2.715786425E2	2.098855401E2
8.666666667E-1	2.600000000E1	2.717176807E2	2.098911008E2
9.000000000E-1	2.700000000E1	2.716657519E2	2.098838259E2
9.333333333E-1	2.800000000E1	2.715907085E2	2.098555413E2
9.666666667E-1	2.900000000E1	2.714818941E2	2.098981575E2
1.000000000E0	3.000000000E1	2.714763422E2	2.098839816E2
1.033333333E0	3.100000000E1	2.715740394E2	2.098975314E2
1.066666667E0	3.200000000E1	2.715251706E2	2.099119488E2
1.100000000E0	3.300000000E1	2.716856125E2	2.098974674E2
1.133333333E0	3.400000000E1	2.714577324E2	2.098935478E2
1.166666667E0	3.500000000E1	2.714074139E2	2.099299496E2
1.200000000E0	3.600000000E1	2.716541145E2	2.099522085E2
1.233333333E0	3.700000000E1	2.713180576E2	2.099573062E2
1.266666667E0	3.800000000E1	2.712957617E2	2.099772787E2
1.300000000E0	3.900000000E1	2.716902145E2	2.100306467E2
1.333333333E0	4.000000000E1	2.715508203E2	2.100320257E2
